Pays,geo,Continent,Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (10^9 m3/year),Municipal water withdrawal (10^9 m3/year),Total water withdrawal (10^9 m3/year),Total water withdrawal per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total renewable water resources per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year).1,Water resources: total external renewable (10^9 m3/year).1,Total renewable water resources (10^9 m3/year).1,Dependency ratio (%).1,Total renewable water resources per capita (m3/inhab/year).1,Produced municipal wastewater (10^9 m3/year),Collected municipal wastewater (10^9 m3/year),Treated municipal wastewater (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year),Long-term average annual precipitation in depth (mm/year),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year).2,Fresh surface water withdrawal (primary and secondary) (10^9 m3/year),Fresh groundwater withdrawal (primary and secondary) (10^9 m3/year),Total freshwater withdrawal (primary and secondary) (10^9 m3/year),Desalinated water produced (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year).1,codes
Comoros,"-11.6455,43.33330000000001",Africa,0.0047,0.0005,0.0048,0.01,17.38,1.2,0.0,1.02,0.0,1522.0,1.2,0.0,1.2,0.0,1522.0,,,,,900.0,1.675,0.2,1.0,0.0,1.2,,,0.01,,,COM
Congo,"-4.038333,21.758663999999953",Africa,0.004,0.024,0.0637,0.046,14.12,222.0,610.0,832.0,73.32,180087.0,222.0,610.0,832.0,73.32,180087.0,,,0.0,,1646.0,562.9,222.0,122.0,122.0,222.0,0.022000000000000002,0.024,0.046,,,COG
Côte d'Ivoire,"7.539988999999999,-5.547080000000051",Africa,0.5953,0.318,0.6359,1.5490000000000002,82.12,76.84,7.3,84.14,8.676,3706.0,76.84,7.3,84.14,8.676,3706.0,,,0.0001,,1348.0,434.7,74.0,37.84,35.0,76.84,,,1.5490000000000002,,,CIV
Democratic Republic of the Congo,"-4.038333,21.758663999999953",Africa,0.0719,0.1468,0.4649,0.6836,11.42,900.0,383.0,1283.0,29.85,16605.0,900.0,383.0,1283.0,29.85,16605.0,,,,,1543.0,3618.0,899.0,421.0,420.0,900.0,,,0.6836,,,NaN
Djibouti,"11.825138,42.59027500000002",Africa,0.003,0.0,0.016,0.019,25.49,0.3,0.0,0.3,0.0,337.9,0.3,0.0,0.3,0.0,337.9,,,,0.0001,220.0,5.104,0.3,0.015,0.015,0.3,0.001,0.018000000000000002,0.0188,0.0001,0.0001,DJI
Egypt,"26.820553,30.802498000000014",Africa,67.0,2.0,9.0,78.0,910.6,1.8,56.5,58.3,96.91,637.1,1.8,56.5,58.3,96.91,637.1,7.077999999999999,6.497000000000001,4.013,2018-03-01 00:00:00,51.0,51.07,0.5,1.3,0.0,1.8,,8.045,73.8,0.2,1.3,EGY
Equatorial Guinea,"1.650801,10.267894999999953",Africa,0.001,0.003,0.0158,0.0174,30.65,26.0,0.0,26.0,0.0,30766.0,26.0,0.0,26.0,0.0,30766.0,,,,,2156.0,60.48,25.0,10.0,9.0,26.0,,,0.0174,,,GNQ
Eritrea,"15.179384,39.78233399999999",Africa,0.55,0.001,0.031,0.5820000000000001,132.1,2.8,4.515,7.315,61.72,1399.0,2.8,4.515,7.315,61.72,1399.0,0.018000000000000002,,,,384.0,45.16,2.7,0.5,0.4,2.8,,,0.5820000000000001,,,ERI
Eswatini,"-26.522503,31.465866000000005",Africa,1.006,0.0207,0.0413,1.042,963.0,2.64,1.87,4.51,41.46,3504.0,2.64,1.87,4.51,41.46,3504.0,0.0132,,0.009,,788.0,13.68,2.64,0.66,0.66,2.64,,,1.042,,,SWZ
Ethiopia,"9.145000000000001,40.48967300000004",Africa,9.687000000000001,0.0511,0.81,10.55,106.1,122.0,0.0,122.0,0.0,1227.0,122.0,0.0,122.0,0.0,1227.0,,,0.0,0.0,848.0,936.4,120.0,20.0,18.0,122.0,,,10.55,,0.0,ETH
Gabon,"-0.803689,11.60944399999994",Africa,0.0403,0.0141,0.0847,0.1391,96.53,164.0,2.0,166.0,1.205,96232.0,164.0,2.0,166.0,1.205,96232.0,,,,,1831.0,490.1,162.0,62.0,60.0,164.0,,,0.1391,,,GAB
Gambia,"13.443182,-15.310138999999936",Africa,0.0392,0.0212,0.0412,0.0905,69.19,3.0,5.0,8.0,62.5,4018.0,3.0,5.0,8.0,62.5,4018.0,,,,,836.0,9.447000000000001,3.0,0.5,0.5,3.0,,,0.0905,,,GMB
Ghana,"7.946527,-1.0231939999999895",Africa,0.652,0.095,0.251,0.982,49.63,30.3,25.9,56.2,46.09,2050.0,30.3,25.9,56.2,46.09,2050.0,0.28,0.027999999999999997,0.022,,1187.0,283.1,29.0,26.3,25.0,30.3,,,0.982,,,GHA
Guinea,"9.945587,-9.69664499999999",Africa,0.2929,0.0562,0.2248,0.5533,60.71,226.0,0.0,226.0,0.0,17924.0,226.0,0.0,226.0,0.0,17924.0,,,,,1651.0,405.9,226.0,38.0,38.0,226.0,0.6659999999999999,0.07400000000000001,0.5533,,,GIN
Guinea-Bissau,"11.803749,-15.180413000000044",Africa,0.14400000000000002,0.0119,0.0341,0.175,127.6,16.0,15.04,31.4,49.04,17028.0,16.0,15.4,31.4,49.04,17028.0,,,,,1577.0,56.98,12.0,14.0,10.0,16.0,0.14400000000000002,0.031,0.175,,,GNB
Kenya,"-0.023559,37.90619300000003",Africa,1.9069999999999998,0.125,1.186,3.218,75.64,20.7,10.0,30.07,32.57,666.7,20.7,10.0,30.7,32.57,666.7,,,,,630.0,365.6,20.2,3.5,3.0,20.7,,,3.218,,,KEN
Lesotho,"-29.609988,28.233608000000004",Africa,0.0038,0.02,0.02,0.0438,23.24,5.23,-2.208,3.022,0.0,1415.0,5.23,-2.208,3.022,0.0,1415.0,,,,,788.0,23.92,5.23,0.5,0.5,5.23,,,0.0438,,,LSO
Liberia,"6.428055,-9.429498999999964",Africa,0.0123,0.0534,0.0802,0.1308,42.59,200.0,32.0,232.0,13.79,51521.0,200.0,32.0,232.0,13.79,51521.0,,,,,2391.0,266.3,200.0,45.0,45.0,200.0,,,0.1308,,,LBR
Libya,"26.3351,17.228331000000026",Africa,4.85,0.28,0.7,5.83,927.9,0.7,0.0,0.7,0.0,111.5,0.7,0.0,0.7,0.0,111.5,0.504,0.16699999999999998,0.04,,56.0,98.53,0.2,0.6,0.1,0.7,0.17,5.55,5.76,0.07,,LBY
Madagascar,"-18.766947,46.869106999999985",Africa,13.0,0.1619,0.395,13.56,700.0,337.0,0.0,337.0,0.0,13906.0,337.0,0.0,337.0,0.0,13906.0,,,,,1513.0,888.6,332.0,55.0,50.0,337.0,,0.024,13.56,,,MDG
Malawi,"-13.254308,34.30152499999997",Africa,1.166,0.0477,0.1431,1.357,100.5,16.14,1.14,17.28,6.597,1004.0,16.14,1.14,17.28,6.597,1004.0,,,,,1181.0,139.9,16.14,2.5,2.5,16.14,,,1.357,,,MWI
Mali,"17.570692,-3.9961660000000165",Africa,5.075,0.004,0.107,5.186,376.9,60.0,60.0,120.0,50.0,6818.0,60.0,60.0,120.0,50.0,6818.0,0.0967,,,,282.0,349.7,50.0,20.0,10.0,60.0,5.125,0.061,5.186,,,MLI
Mauritania,"21.00789,-10.940834999999993",Africa,1.2229999999999999,0.0318,0.0954,1.35,405.6,0.4,11.0,11.04,96.49,2802.0,0.4,11.0,11.4,96.49,2802.0,0.0214,,0.0007,,92.0,94.82,0.1,0.3,0.0,0.4,,,1.348,0.002,,MRT
Mauritius,"-20.348404,57.55215199999998",Africa,0.491,0.02,0.214,0.725,588.0,2.7510000000000003,0.0,2.7510000000000003,0.0,2161.0,2.7510000000000003,0.0,2.7510000000000003,0.0,2161.0,0.0243,,0.041,,2041.0,4.164,2.358,0.893,0.5,2.7510000000000003,0.5770000000000001,0.14800000000000002,0.725,,,MUS
Morocco,"31.791702,-7.092620000000011",Africa,9.156,0.212,1.063,10.43,316.2,29.0,0.0,29.0,0.0,843.6,29.0,0.0,29.0,0.0,843.6,0.7,,0.166,0.07,346.0,154.5,22.0,10.0,3.0,29.0,8.251,2.322,10.35,0.006999999999999999,0.07,MAR
Mozambique,"-18.665695,35.52956199999994",Africa,1.0759999999999998,0.025,0.37200000000000005,1.473,52.65,100.3,116.8,217.1,53.8,7760.0,100.3,116.8,217.1,53.8,7760.0,,,0.0,,1032.0,825.0,97.3,17.0,14.0,100.3,,,1.473,,,MOZ
Namibia,"-22.95764,18.490409999999997",Africa,0.201,0.013999999999999999,0.073,0.28800000000000003,147.1,6.16,33.75,39.91,84.57,16230.0,6.16,33.75,39.91,84.57,16230.0,0.0195,,0.006,0.0058,285.0,234.9,4.1,2.1,0.04,6.16,0.1566,0.1253,0.2819,0.0003,0.0058,NAM
Niger,"17.607789,8.081666000000041",Africa,0.6565,0.0137,0.0617,0.9836,67.7,3.5,30.55,34.05,89.72,1711.0,3.5,30.55,34.05,89.72,1711.0,0.0396,,,,151.0,191.3,1.0,2.5,0.0,3.5,0.04,0.46,0.9836,,,NER
Nigeria,"9.081999,8.675277000000051",Africa,5.51,1.965,5.0,12.47,74.12,221.0,65.2,286.2,22.78,1571.0,221.0,65.2,286.2,22.78,1571.0,,,,,1150.0,1062.0,214.0,87.0,80.0,221.0,,,12.47,0.003,,NGA
Rwanda,"-1.940278,29.873887999999965",Africa,0.102,0.0205,0.0614,0.15,17.57,9.5,3.08,13.03,28.57,1146.0,9.5,3.8,13.3,28.57,1146.0,,,,,1212.0,31.92,9.5,7.0,7.0,9.5,,,0.15,,,RWA
Sao Tome and Principe,"0.18636,6.613080999999966",Africa,,,,0.006999999999999999,53.8,2.18,0.0,2.18,0.0,11456.0,2.18,0.0,2.18,0.0,11456.0,,,,,3200.0,3.072,,,,2.18,,,0.006999999999999999,,,STP
Senegal,"14.497401,-14.452361999999994",Africa,2.065,0.057999999999999996,0.098,2.221,213.8,25.8,13.17,38.97,33.8,2576.0,25.8,13.17,38.97,33.8,2576.0,0.0696,,0.0112,,686.0,134.9,23.8,3.5,1.5,25.8,,,2.221,5e-05,,SEN
Seychelles,"-4.679574,55.49197700000002",Africa,0.0009,0.0038,0.009000000000000001,0.0137,150.8,,0.0,,0.0,,,0.0,,0.0,,0.0088,,,0.000006,2330.0,1.072,,,,,0.0116,0.0003,0.0127,0.001,6e-06,SYC
Sierra Leone,"8.460555,-11.779889000000026",Africa,0.0457,0.0555,0.111,0.2122,39.36,160.0,0.0,160.0,0.0,24795.0,160.0,0.0,160.0,0.0,24795.0,,,,,2526.0,182.6,150.0,25.0,15.0,160.0,,,0.2122,,,SLE
Somalia,"5.152149,46.19961599999999",Africa,3.281,0.002,0.015,3.298,370.2,6.0,8.07,14.7,59.18,1363.0,6.0,8.7,14.7,59.18,1363.0,,,0.0,,282.0,179.8,5.7,3.3,3.0,6.0,3.167,0.131,3.298,0.0004,,SOM
South Africa,"-30.559482,22.937505999999985",Africa,9.69,1.625,4.185,15.5,284.5,44.8,6.55,51.35,12.84,942.4,44.8,6.55,51.35,12.84,942.4,3.542,2.7689999999999997,1.919,1.61,495.0,603.4,43.0,4.8,3.0,44.8,12.12,1.77,15.5,0.018000000000000002,1.61,ZAF
South Sudan,"6.876991899999999,31.306978800000024",Africa,0.24,0.225,0.193,0.6579999999999999,59.92,26.0,23.05,49.5,65.79,4011.0,26.0,2018-05-23 00:00:00,49.5,65.79,4011.0,,,,,900.0,579.9,26.0,4.0,4.0,26.0,,,0.6579999999999999,,,SSD
Sudan,"12.862807,30.21763599999997",Africa,25.91,0.075,0.95,26.93,714.1,4.0,33.8,37.8,96.13,939.5,4.0,33.8,37.8,96.13,939.5,,,,,250.0,469.8,2.0,3.0,1.0,4.0,,,26.93,,,SDN
Togo,"8.619543,0.8247820000000274",Africa,0.076,0.0063,0.1407,0.16899999999999998,32.87,11.5,3.02,14.7,21.77,2012.0,11.5,3.2,14.7,21.77,2012.0,,,,,1168.0,66.33,10.8,5.7,5.0,11.5,,,0.16899999999999998,,,TGO
Tunisia,"33.886917,9.537499000000025",Africa,2.6439999999999997,0.165,0.496,3.305,303.7,4.195,0.42,4.615,9.101,410.1,4.195,0.42,4.615,9.101,410.1,0.287,0.24100000000000002,0.226,0.068,207.0,33.87,3.1,1.495,0.4,4.195,1.151,2.066,3.217,0.0197,0.068,TUN
Uganda,"1.373333,32.290275000000065",Africa,0.259,0.05,0.32799999999999996,0.637,17.99,39.0,21.01,60.1,35.11,1540.0,39.0,21.1,60.1,35.11,1540.0,0.0419,,,,1180.0,285.0,39.0,29.0,29.0,39.0,,,0.637,,,UGA
United Republic of Tanzania,"-6.369028,34.888822000000005",Africa,4.632,0.025,0.527,5.184,144.6,84.0,12.27,96.27,12.75,1800.0,84.0,12.27,96.27,12.75,1800.0,,0.027999999999999997,,,1071.0,1015.0,80.0,30.0,26.0,84.0,,,5.184,,,NaN
Zambia,"-13.133897,27.849332000000004",Africa,1.1520000000000001,0.13,0.29,1.5719999999999998,141.1,80.2,24.06,104.8,23.47,6464.0,80.2,24.6,104.8,23.47,6464.0,0.1184,,,,1020.0,767.7,80.2,47.0,47.0,80.2,1.68,0.067,1.5719999999999998,,,ZMB
Zimbabwe,"-19.015438,29.154856999999993",Africa,2.93,0.215,0.425,3.57,268.5,12.26,7.74,20.0,38.7,1282.0,12.26,7.74,20.0,38.7,1282.0,0.19399999999999998,,0.095,,657.0,256.7,11.26,6.0,5.0,12.26,3.785,0.42,3.57,,,ZWE
Antigua and Barbuda,"17.060816,-61.79642799999999",Americas,0.0018,0.0025,0.0072,0.0115,129.1,0.052000000000000005,0.0,0.052000000000000005,0.0,566.3,0.052000000000000005,0.0,0.052000000000000005,0.0,566.3,,,0.0002,,1030.0,0.4532,,,,0.052000000000000005,0.0037,0.0007,0.0044,0.0071,,ATG
Argentina,"-38.416097,-63.616671999999994",Americas,27.93,4.0,5.85,37.78,897.5,292.0,584.2,876.2,66.67,20181.0,292.0,584.2,876.2,66.67,20181.0,2.458,1.5959999999999999,0.29,0.091,591.0,1643.0,276.0,128.0,112.0,292.0,26.36,11.33,37.69,0.006999999999999999,0.091,ARG
Bahamas,"25.03428,-77.39627999999999",Americas,,,0.031,,,0.7,0.0,0.7,0.0,1804.0,0.7,0.0,0.7,0.0,1804.0,,,,,1292.0,17.93,,,,0.7,,,,0.0074,,BHS
Barbados,"13.193887,-59.54319799999996",Americas,0.0548,0.0062,0.02,0.081,293.3,0.08,0.0,0.08,0.0,281.5,0.08,0.0,0.08,0.0,281.5,0.011000000000000001,,0.003,,1422.0,0.6115,0.008,0.07400000000000001,0.002,0.08,,,0.07,0.011000000000000001,,BRB
Belize,"17.189877,-88.49765000000002",Americas,0.0684,0.0212,0.0114,0.10099999999999999,385.2,15.26,6.474,21.73,29.79,60479.0,15.26,6.474,21.73,29.79,60479.0,0.002,,,,1705.0,39.16,15.26,7.51,7.51,15.26,,,0.10099999999999999,,,BLZ
Bolivia (Plurinational State of),"38.9151598,-77.045635",Americas,1.92,0.032,0.136,2.088,203.9,303.5,270.5,574.0,47.13,53520.0,303.5,270.5,574.0,47.13,53520.0,0.157,,0.0336,,1146.0,1259.0,277.4,130.0,103.9,303.5,,,2.088,,,BOL
Brazil,"-14.235004,-51.92527999999999",Americas,44.9,12.72,17.21,74.83,369.7,5661.0,2986.0,8647.0,34.53,41603.0,5661.0,2986.0,8647.0,34.53,41603.0,10.3,5.39,2018-01-03 00:00:00,0.009,1761.0,14995.0,5661.0,645.6,645.6,5661.0,,,74.78,0.04,0.009000000000000001,BRA
Canada,"56.130366,-106.34677099999999",Americas,4.749,33.12,5.877999999999999,38.8,1113.0,2850.0,52.0,2902.0,1.7919999999999998,80746.0,2850.0,52.0,2902.0,1.7919999999999998,80746.0,6.6129999999999995,5.819,5.632,,537.0,5362.0,2840.0,370.0,360.0,2850.0,40.34,1.871,38.8,0.0027,,CAN
Chile,"-35.675147,-71.54296899999997",Americas,29.42,4.744,1.2670000000000001,35.43,2152.0,885.0,38.06,923.1,4.123,51432.0,885.0,38.06,923.1,4.123,51432.0,1.112,1.067,0.768,0.0,1522.0,1151.0,885.0,140.0,140.0,885.0,32.59,2.778,35.36,0.0645,0.0,CHL
Colombia,"4.570868,-74.29733299999998",Americas,6.391,2.242,3.134,11.77,251.1,2145.0,215.0,2360.0,9.11,48933.0,2145.0,215.0,2360.0,9.11,48933.0,2.397,0.552,0.154,,3240.0,3699.0,2145.0,510.0,510.0,2145.0,10.69,1.073,11.77,,,COL
Costa Rica,"9.748916999999999,-83.75342799999999",Americas,1.33,0.26,0.76,2.35,488.8,113.0,0.0,113.0,0.0,23502.0,113.0,0.0,113.0,0.0,23502.0,0.314,0.084,0.047,,2926.0,149.5,113.0,37.31,37.31,113.0,1.554,0.7933,2.347,0.0031,,CRI
Cuba,"21.521757,-77.78116699999998",Americas,4.519,0.74,1.7,6.959,611.0,38.12,0.0,38.12,0.0,3347.0,38.12,0.0,38.12,0.0,3347.0,0.8390000000000001,0.725,0.223,,1335.0,146.7,31.64,6.48,0.0,38.12,4.314,2.6439999999999997,6.959,0.0004,,CUB
Dominica,"15.414999,-61.37097600000004",Americas,0.001,0.0,0.019,0.02,279.0,0.2,0.0,0.2,0.0,2752.0,0.2,0.0,0.2,0.0,2752.0,,,,,2083.0,1.5619999999999998,,,,0.2,0.02,0.0,0.02,,,DMA
Dominican Republic,"18.735693,-70.16265099999998",Americas,5.715,0.586,0.855,7.156000000000001,704.7,23.5,0.0,23.5,0.0,2232.0,23.5,0.0,23.5,0.0,2232.0,0.42700000000000005,0.040999999999999995,0.008,,1410.0,68.62,23.5,4.1610000000000005,4.1610000000000005,23.5,,0.386,7.1370000000000005,,,DOM
Ecuador,"-1.831239,-78.18340599999999",Americas,8.076,0.5489999999999999,1.2930000000000001,9.918,698.2,442.4,0.0,442.4,0.0,27403.0,442.4,0.0,442.4,0.0,27403.0,0.4575,,0.158,,2274.0,583.0,432.0,134.0,123.6,442.4,,,9.916,0.0022,,ECU
El Salvador,"13.794185,-88.89652999999998",Americas,1.431,0.213,0.474,2.1180000000000003,353.8,15.63,10.64,26.27,40.5,4288.0,15.63,10.64,26.27,40.5,4288.0,0.09699999999999999,,0.001,,1784.0,37.54,12.05,6.15,2.57,15.63,1.483,0.635,2.1180000000000003,0.0004,,SLV
Grenada,"12.1165,-61.678999999999974",Americas,0.0021,0.0,0.012,0.0141,132.0,0.2,0.0,0.2,0.0,1873.0,0.2,0.0,0.2,0.0,1873.0,0.011000000000000001,0.001,,,2350.0,0.799,,,,0.2,0.0131,0.001,0.0141,,,GRD
Guatemala,"15.783471,-90.23075899999998",Americas,1.886,0.6031,0.835,3.324,240.9,109.2,18.71,127.9,14.63,7826.0,109.2,18.71,127.9,14.63,7826.0,0.6679999999999999,,0.0065,,1996.0,217.3,100.7,33.7,25.2,109.2,,,3.324,,,GTM
Guyana,"4.860416,-58.93018000000001",Americas,1.3630000000000002,0.0204,0.0613,1.445,1905.0,241.0,30.0,271.0,11.7,353279.0,241.0,30.0,271.0,11.07,353279.0,,,,,2387.0,513.1,241.0,103.0,103.0,241.0,,,1.445,,,GUY
Haiti,"18.971187, -72.285215",Americas,1.209,0.051,0.19,1.45,140.9,13.1,1.015,14.3,7.237,1310.0,13.01,1.015,14.03,7.237,1310.0,,,,,1440.0,39.96,10.85,2.157,0.0,13.01,,,1.45,,,HTI
Honduras,"15.199999, -86.24190499999997",Americas,1.178,0.114,0.315,1.607,225.3,90.66,1.504,92.16,1.632,11413.0,90.66,1.504,92.16,1.632,11413.0,,0.426,0.043,,1976.0,222.3,81.57,39.0,29.91,90.66,1.443,0.16399999999999998,1.607,0.0002,,HND
Jamaica,"18.109581, -77.297508",Americas,0.44799999999999995,0.076,0.28800000000000003,0.812,300.2,10.82,0.0,10.82,0.0,3874.0,10.82,0.0,10.82,0.0,3874.0,,,,,2051.0,22.54,9.111,5.472,3.76,10.82,0.07400000000000001,0.8535,0.8115,0.0005,,JAM
Mexico,"23.634501, -102.55278399999997",Americas,65.36,7.825,12.48,85.66,674.4,409.0,52.88,461.9,11.53,3637.0,409.0,52.88,461.9,11.53,3637.0,7.26,6.66,3.34,0.804,758.0,1489.0,350.0,150.0,91.0,409.0,52.35,33.31,85.66,0.0191,0.804,MEX
Nicaragua,"12.865416, -85.20722899999998",Americas,1.185,0.0736,0.28600000000000003,1.545,262.9,156.2,8.31,164.5,5.051,27047.0,156.2,8.31,164.5,5.051,27047.0,0.304,0.1793,0.1112,0.0011,2280.0,297.2,152.6,59.0,55.39,156.2,,,1.545,0.0002,0.0011,NIC
Panama,"8.537981, -80.782127",Americas,0.446,0.01,0.581,1.037,277.0,136.6,2.7039999999999997,139.3,1.9409999999999998,35454.0,136.6,2.704,139.3,1.9409999999999998,35454.0,0.39399999999999996,,,,2928.0,220.8,133.2,21.0,17.6,136.6,,,1.037,,,PAN
Paraguay,"-23.442503, -58.443831999999986",Americas,1.8969999999999998,0.154,0.36200000000000004,2.4130000000000003,378.3,117.0,270.8,387.8,69.83,58412.0,117.0,270.8,387.8,69.83,58412.0,0.2048,,,,1130.0,459.6,117.0,41.64,41.64,117.0,1.969,0.444,2.4130000000000003,8e-06,,PRY
Peru,"-9.189967, -75.015152",Americas,0.0,0.289,1.254,13.66,452.9,1641.0,238.8,1880.0,12.7,59916.0,1641.0,238.8,1880.0,12.7,59916.0,0.995,0.655,0.275,0.0303,1738.0,2234.0,1641.0,303.0,303.0,1641.0,11.8,1.765,13.56,0.0054,0.0303,PER
Puerto Rico,"18.220833, -66.590149",Americas,0.0641,3.15,0.9386,4.1530000000000005,1124.0,7.1,0.0,7.1,0.0,1928.0,7.1,0.0,7.1,0.0,1928.0,,,,,2054.0,18.22,,,,7.1,0.8440000000000001,0.1727,1.0170000000000001,,,PRI
Saint Kitts and Nevis,"17.357822, -62.78299800000002",Americas,0.0002,0.0,0.0154,0.0156,290.8,0.024,0.0,0.024,0.0,431.9,0.024,0.0,0.024,0.0,431.9,,,,,1427.0,0.371,0.004,0.02,0.0,0.024,0.0046,0.0076,0.0123,0.0033,,KNA
Saint Lucia,"13.909444, -60.97889299999997",Americas,0.0304,0.0,0.0125,0.0429,252.1,0.3,0.0,0.3,0.0,1622.0,0.3,0.0,0.3,0.0,1622.0,,,,,2301.0,1.4269999999999998,,,,0.3,,,0.0429,,,LCA
Saint Vincent and the Grenadines,"12.984305, -61.28722800000003",Americas,0.0,6e-06,0.0085,0.0085,77.63,0.1,0.0,0.1,0.0,913.2,0.1,0.0,0.1,0.0,913.2,,,,,1583.0,0.6174,,,,0.1,0.0079,0.0,0.0079,6e-06,,VCT
Suriname,"3.919305, -56.027783",Americas,0.4311,0.1355,0.0493,0.6159,1229.0,99.0,0.0,99.0,0.0,182320.0,99.0,0.0,99.0,0.0,182320.0,,,,,2331.0,381.9,99.0,90.0,90.0,99.0,0.5666,0.0493,0.6159,,,SUR
Trinidad and Tobago,"10.691803, -61.22250300000002",Americas,0.0167,0.1289,0.2376,0.3832,285.5,3.84,0.0,3.84,0.0,2824.0,3.84,0.0,3.84,0.0,2824.0,,,,,2200.0,11.29,3.74,0.614,0.514,3.84,0.2284,0.1078,0.3362,0.047,,TTO
United States of America,"37.09024, -95.71289100000001",Americas,175.1,248.4,62.09,485.6,1543.0,2818.0,251.0,3069.0,8.179,9538.0,2818.0,251.0,3069.0,8.179,9538.0,60.41,47.24,45.35,2.774,715.0,7030.0,2662.0,1383.0,1227.0,2818.0,313.9,104.9,418.7,0.58,2.7739999999999996,USA
Uruguay,"-32.522779, -55.76583500000004",Americas,3.17,0.08,0.41,3.66,1100.0,92.2,80.0,172.2,46.46,50175.0,92.2,80.0,172.2,46.46,50175.0,0.1152,,,,1300.0,229.1,92.2,22.9,22.9,92.2,3.52,0.14,3.66,,,URY
Venezuela (Bolivarian Republic of),"38.90379, -77.05892499999999",Americas,16.71,0.7933,5.122999999999999,22.63,817.8,805.0,520.0,1325.0,39.25,42594.0,805.0,520.0,1325.0,39.25,42594.0,2.903,,0.93,,2044.0,1864.0,782.7,227.0,204.7,805.0,,,22.62,0.0052,,VEN
Afghanistan,"33.93911, 67.70995300000004",Asia,20.0,0.1695,0.2034,20.28,943.8,47.15,18.18,65.33,28.72,2008.0,47.15,18.18,65.33,28.72,2008.0,,,,,327.0,213.5,37.5,10.65,1.0,47.15,17.24,3.042,20.28,,,AFG
Armenia,"40.069099, 45.03818899999999",Asia,2.949,0.125,0.198,3.272,1084.0,6.859,0.91,7.769,11.71,2574.0,6.859,0.91,7.769,11.71,2574.0,0.363,,0.115,0.0001,562.0,16.71,3.948,4.311,1.4,6.859,2.2159999999999997,0.611,3.272,,0.0001,ARM
Azerbaijan,"40.143105, 47.57692700000007",Asia,10.1,2.36,0.521,11.97,1279.0,8.115,26.56,34.68,76.6,3555.0,8.115,26.56,34.68,76.6,3555.0,0.659,,0.161,,447.0,38.71,5.955,6.51,4.35,8.115,10.79,0.7070000000000001,11.97,,,AZE
Bahrain,"26.0667, 50.55770000000007",Asia,0.1592,0.0203,0.1779,0.3574,348.0,0.004,0.11199999999999999,0.11599999999999999,96.55,84.24,0.004,0.112,0.11599999999999999,96.55,84.24,0.151,0.10099999999999999,0.076,0.016,83.0,0.064,0.004,0.0,0.0,0.004,0.0,0.2387,0.2387,0.1024,0.016,BHR
Bangladesh,"23.684994, 90.35633099999995",Asia,31.5,0.77,3.6,35.87,231.0,105.0,1122.0,1227.0,91.44,7621.0,105.0,1122.0,1227.0,91.44,7621.0,0.725,,,,2666.0,393.6,83.91,21.09,0.0,105.0,7.39,28.48,35.87,,,BGD
Bhutan,"27.514162, 90.43360099999995",Asia,0.318,0.003,0.017,0.33799999999999997,454.5,78.0,0.0,78.0,0.0,100671.0,78.0,0.0,78.0,0.0,100671.0,0.0039,,,,2200.0,84.46,78.0,8.1,8.1,78.0,0.3379,0.0,0.3379,,,BTN
Brunei Darussalam,"4.535277, 114.72766899999999",Asia,0.0053,,0.1515,0.092,297.0,8.5,0.0,8.5,0.0,20085.0,8.5,0.0,8.5,0.0,20085.0,,,,,2722.0,15.71,8.5,0.1,0.1,8.5,0.0915,0.0005,0.092,,,BRN
Cambodia,"12.565679, 104.99096299999997",Asia,2.053,0.033,0.098,2.184,159.1,120.6,355.5,476.1,74.67,30562.0,120.6,355.5,476.1,74.67,30562.0,,,0.0002,,1904.0,344.7,116.0,17.6,13.0,120.6,,,2.184,,,KHM
China,"35.86166, 104.19539699999996",Asia,385.2,133.5,79.4,598.1,425.0,2813.0,27.32,2840.0,0.9619,2018.0,2813.0,27.32,2840.0,0.9619,2018.0,48.51,31.14,49.31,3.86,645.0,6192.0,2712.0,828.8,727.9,2813.0,484.9,106.9,594.2,0.0109,3.86,CHN
Democratic People's Republic of Korea,"40.339852, 127.51009299999998",Asia,6.61,1.145,0.9028,8.658,359.1,67.0,10.15,77.15,13.16,3067.0,67.0,10.15,77.15,13.16,3067.0,,,,,1054.0,127.0,66.0,13.0,12.0,67.0,,,8.658,,,NaN
Georgia,"32.1656221, -82.90007509999998",Asia,1.055,0.4,0.358,1.8230000000000002,440.4,58.13,5.02,63.33,8.211,15832.0,58.13,2018-02-05 00:00:00,63.33,8.211,15832.0,,,0.009,,1026.0,71.51,56.9,17.23,16.0,58.13,1.197,0.616,1.8230000000000002,,,GEO
