Pays,geo,Continent,Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (10^9 m3/year),Municipal water withdrawal (10^9 m3/year),Total water withdrawal (10^9 m3/year),Total water withdrawal per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total renewable water resources per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year).1,Water resources: total external renewable (10^9 m3/year).1,Total renewable water resources (10^9 m3/year).1,Dependency ratio (%).1,Total renewable water resources per capita (m3/inhab/year).1,Produced municipal wastewater (10^9 m3/year),Collected municipal wastewater (10^9 m3/year),Treated municipal wastewater (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year),Long-term average annual precipitation in depth (mm/year),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year).2,Fresh surface water withdrawal (primary and secondary) (10^9 m3/year),Fresh groundwater withdrawal (primary and secondary) (10^9 m3/year),Total freshwater withdrawal (primary and secondary) (10^9 m3/year),Desalinated water produced (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year).1,codes
Turkmenistan,"38.969719, 59.55627800000002",Asia,26.36,0.8390000000000001,0.755,27.95,5753.0,1.405,23.36,24.77,97.0,4609.0,1.405,23.36,24.77,97.0,4609.0,0.268,,0.336,,161.0,78.58,1.0,0.405,0.0,1.405,27.56,0.305,27.87,0.0,,TKM
United Arab Emirates,"23.424076, 53.84781799999996",Asia,3.312,0.069,0.617,3.998,665.2,0.15,0.0,0.15,0.0,16.38,0.15,0.0,0.15,0.0,16.38,0.5,,0.289,0.248,78.0,6.521,0.15,0.12,0.12,0.15,0.0,2.8,2.8,0.95,0.248,ARE
Uzbekistan,"41.377491, 64.58526200000006",Asia,50.4,1.5,4.1,56.0,2106.0,16.34,32.53,48.87,80.07,1635.0,16.34,32.53,48.87,80.07,1635.0,0.3397,,,,206.0,92.16,9.54,8.8,2.0,16.34,44.16,5.0,49.16,,,UZB
Viet Nam,"14.058324, 108.277199",Asia,77.75,3.074,1.206,82.03,956.4,359.4,524.7,884.1,59.35,9461.0,359.4,524.7,884.1,59.35,9461.0,1.972,0.19699999999999998,0.197,0.175,1821.0,602.7,323.0,71.42,35.0,359.4,80.46,1.402,81.86,,0.175,VNM
Yemen,"15.552727, 48.516388000000006",Asia,3.235,0.065,0.265,3.565,164.3,2.1,0.0,2.1,0.0,78.26,2.1,0.0,2.1,0.0,78.26,0.1315,,0.046,0.006,167.0,88.17,2.0,1.5,1.4,2.1,0.987,2.397,3.54,0.0251,0.006,YEM
Albania,"41.153332, 20.168330999999966",Europe,0.5176,0.2318,0.5613,1.311,435.4,26.9,3.03,30.2,10.93,10425.0,26.9,3.3,30.2,10.93,10425.0,0.0382,,0.026,,1485.0,42.69,2018-05-23 00:00:00,6.2,2.35,26.9,,,1.311,,,ALB
Andorra,"42.506285, 1.5218009999999822",Europe,,,,,,0.3156,,0.3156,,4479.0,0.3156,,0.3156,,4479.0,,,,,,0.4724,,,,0.3156,,,,,,AND
Austria,"47.516231, 14.550072",Europe,0.0771,2.695,0.72,3.492,413.0,55.0,22.07,77.7,29.21,9093.0,55.0,2018-07-22 00:00:00,77.7,29.21,9093.0,1.054,1.919,1.919,,1110.0,93.11,55.0,6.0,6.0,55.0,2.551,1.115,3.492,0.0022,,AUT
Belarus,"53.709807, 27.953389000000016",Europe,0.489,0.478,0.547,1.514,159.4,34.0,23.09,57.9,41.28,6097.0,34.0,2018-09-23 00:00:00,57.9,41.28,6097.0,1.078,,0.666,,618.0,128.3,34.0,15.9,15.9,34.0,0.6629999999999999,0.851,1.514,,,BLR
Belgium,"50.503887, 4.4699359999999615",Europe,0.0402,5.256,0.7093,6.005,542.0,12.0,6.03,18.3,34.43,1620.0,12.0,6.3,18.3,34.43,1620.0,0.8740000000000001,0.1501,,0.003,847.0,25.86,12.0,0.9,0.9,12.0,5.39,0.6125,6.002000000000001,,0.003,BEL
